Number or provisional designation in packed form,H absolute magnitude,G slope parameter,Epoch in packed form .0 TT,Mean anomaly at epoch in degrees,Argument of perihelion J2000.0 degrees,Longitude of ascending node J2000.0 degrees,Inclination to ecliptic J2000.0 degrees,Orbital eccentricity,Mean daily motion degrees per day,Semimajor axis AU,Uncertainty parameter U,Reference,Number of observations,Number of oppositions,Year of first observation,Year of last observation,Arc length days,RMS residual arcsec,Coarse indicator of perturbers blank if unperturbed one opposition object,Precise indicator of perturbers blank if unperturbed one opposition object,Computer name,Readable designation,Date of last observation included in orbit solution YYYYMMDD
B9070,7.0,0.15,K221L,24.09155,219.43509,22.17752,3.31777,0.1774722,0.00339042,43.8834545,3,MPO 88168,29,4,2001,2005,-999,0.17,M-v,38h,MPCM,(119070) 2001 KP77,20050511
B9473,8.13,0.15,K221L,351.41017,46.87311,36.30857,3.666,0.2864809,0.00394351,39.6777952,2,E2021-EA9,97,13,2001,2020,-999,0.95,M-v,3Ek,Pan,(119473) 2001 UO18,20200122
B9878,6.17,0.15,K221L,29.08716,150.60956,317.1076,15.77382,0.341757,0.00252323,53.4357481,3,MPO657778,258,17,2002,2021,-999,0.68,M-v,3Ek,Pan,(119878) 2002 CY224,20210409
B9951,4.7,0.15,K221L,272.83281,69.41922,287.0417,0.39953,0.0474025,0.00406007,38.914672,1,MPO385527,121,13,1984,2015,-999,0.17,M-v,38h,MPCLINUX,(119951) 2002 KX14,20150611
B9956,6.42,0.15,K221L,89.65997,155.72391,105.49873,4.04853,0.1737948,0.00338454,43.9342291,3,MPO647887,151,18,2000,2020,-999,0.52,M-v,3Ek,Pan,(119956) 2002 PA149,20200913
B9979,4.7,0.15,K221L,321.94547,44.4792,109.68701,9.19752,0.2584558,0.00299171,47.7005394,2,MPO506397,117,11,2001,2019,-999,0.4,M-v,38h,Williams,(119979) 2002 WC19,20191026
C0132,4.79,0.15,K221L,35.82961,174.07083,341.91422,11.80202,0.2462481,0.00286032,49.1502673,2,MPO637526,323,20,1989,2021,-999,0.55,M-v,3Ek,Pan,(120132) 2003 FY128,20210515
C0178,4.05,0.15,K221L,73.60344,72.93742,183.06007,27.08646,0.1069794,0.00342988,43.5461625,1,MPO657780,414,20,1990,2021,-999,0.61,M-v,3Ek,Pan,(120178) 2003 OP32,20211011
C0181,7.38,0.15,K221L,18.84312,248.01199,146.36517,2.7197,0.1757576,0.00533212,32.4490985,2,MPO600179,243,20,2000,2021,-999,0.43,M-v,3Ek,Pan,(120181) 2003 UR292,20210112
C0216,6.61,0.15,K221L,5.3103,205.03662,25.80247,29.31568,0.3157884,0.00398074,39.4299987,3,MPO594846,232,18,2001,2020,-999,0.53,M-v,3Ek,Pan,(120216) 2004 EW95,20200615
C0347,4.29,0.15,K221L,124.36754,313.32432,279.9776,23.92362,0.1025627,0.00357795,42.3363593,1,MPO657781,319,24,1982,2021,-999,0.75,M-v,3Ek,Pan,(120347) Salacia,20211011
C0348,4.43,0.15,K221L,279.36743,355.00761,140.32446,24.83205,0.0629895,0.00404798,38.9921632,2,MPO657781,319,19,1983,2021,-999,0.56,M-v,3Ek,Pan,(120348) 2004 TY364,20211013
C3509,6.5,0.15,K221L,339.13422,289.13088,185.57555,1.96942,0.0421774,0.00334202,44.3060674,3,MPO469285,54,7,2000,2018,-999,0.31,M-v,38h,MPCLINUX,(123509) 2000 WK183,20181114
